0,1,2,3,4,5,6,7,8
온라인 불법유통 및 알선 게시물,디지털치안데이터,2021-12-10 19:16:05 최초등록 , 2021-12-10 19:16:05 업데이트됨,                            CSV,                            0,32,0,           매월
독극물 구매 알선 게시물,디지털치안데이터,2021-12-10 19:16:44 최초등록 , 2021-12-10 19:16:44 업데이트됨,                            CSV,                            0,32,0,           매월
성매매 업체 홍보 게시물,디지털치안데이터,2021-12-10 19:17:20 최초등록 , 2021-12-10 19:17:20 업데이트됨,                            CSV,                            0,32,0,           매월
미성년자 성매매 유도 게시물,디지털치안데이터,2021-12-10 19:17:49 최초등록 , 2021-12-10 19:17:49 업데이트됨,                            CSV,                            0,32,0,           매월
온라인 도박 사이트 유도 게시물,디지털치안데이터,2021-12-10 19:18:17 최초등록 , 2021-12-10 19:18:17 업데이트됨,                            CSV,                            0,32,0,           매월
불법금융 상품 홍보 게시물,디지털치안데이터,2021-12-10 19:18:52 최초등록 , 2021-12-10 19:18:52 업데이트됨,                            CSV,                            0,32,0,           매월
불법 환전 모집 게시물,디지털치안데이터,2021-12-10 19:19:25 최초등록 , 2021-12-10 19:19:25 업데이트됨,                            CSV,                            0,32,0,           매월
명예훼손 게시물,디지털치안데이터,2021-12-10 19:19:54 최초등록 , 2021-12-10 19:19:54 업데이트됨,                            CSV,                            0,32,0,           매월
인터넷사기 융합데이터,디지털치안데이터,2021-12-15 12:52:48 최초등록 , 2021-12-15 13:50:05 업데이트됨,                            CSV,                            무료 ,32,2,           매년
디지털 성폭력 융합데이터,디지털치안데이터,2021-12-15 12:56:09 최초등록 , 2021-12-15 13:49:51 업데이트됨,                            CSV,                            무료 ,32,5,           매년
전국 지진발생 분포지역,지역환경공공데이터,2021-12-15 12:57:31 최초등록 , 2021-12-17 18:55:35 업데이트됨,                            공간,"                            10,000",32,2,           매년
전국 비상벨 위치정보,지역환경공공데이터,2021-12-15 12:58:17 최초등록 , 2021-12-15 15:11:01 업데이트됨,                            공간,"                            10,000",32,0,           매반기
신규 다크웹 포럼 게시글,디지털치안데이터,2021-12-29 15:05:47 최초등록 , 2021-12-29 15:11:26 업데이트됨,                            텍스트,                            미정,33,0,
