서울시 대기오염물질 측정소 높이 정보,대기오염물질 측정소 높이 (위치정보),2015.12.14,2022.04.19,"비정기(수시, 자료변경시)",환경,"서울시 대기환경정보
바로가기",,서울특별시,기후환경본부 대기정책과,김은아 (02-2133-3665),,없음,저작권자표시(BY) : 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.,"대기오염 ,  대기환경 ,  대기측정소 ,  대기 ,  오염 ,  물질 ,  측정",https://data.seoul.go.kr/dataList/OA-12855/F/1/datasetView.do
서울글로벌센터 월별 상담실적,"서울글로벌센터에서 상담 받은 내용 중 유형에 따른 전화, 방문, 이메일, 게시판 이동상담 내용을 월별 건수를 제공합니다.",2019.09.06,2022.01.12,비정기(자료변경시),복지,"서울글로벌센터 홈페이지
바로가기",서울특별시,서울특별시,여성가족정책실 외국인다문화담당관,윤지용 (02-2133-5064),,없음,저작권자표시(BY) : 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.,"여성 ,  가족 ,  노무 ,  문화 ,  관광 ,  보건 ,  복지 ,  교통 ,  행정 ,  주거 ,  비즈니스 ,  출입국 ,  금융 ,  정보통신 ,  교육 ,  안전 ,  기타 ,  상담 ,  실적",https://data.seoul.go.kr/dataList/OA-15735/S/1/datasetView.do
서울글로벌센터 분기별 상담실적,서울글로벌센터 분기별 상담 실적을 제공합니다.,2019.09.06,2022.01.12,비정기(자료변경시),복지,"서울글로벌센터 홈페이지
바로가기",서울특별시,서울특별시,여성가족정책실 외국인다문화담당관,윤지용 (02-2133-5064),,없음,저작권자표시(BY) : 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.,"분기 ,  상담 ,  실적",https://data.seoul.go.kr/dataList/OA-15737/S/1/datasetView.do
서울글로벌센터 언어별 접수유형별 상담실적,서울글로벌센터의 상담실적을 약 17개의 언어 및 접수유형별로 제공합니다.,2019.09.06,2022.01.12,비정기(자료변경시),복지,"서울글로벌센터 홈페이지
바로가기",서울특별시,서울특별시,여성가족정책실 외국인다문화담당관,윤지용 (02-2133-5064),,없음,저작권자표시(BY) : 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.,"언어 ,  접수 ,  유형 ,  상담 ,  실적",https://data.seoul.go.kr/dataList/OA-15736/S/1/datasetView.do
서울시농수산식품공사 품목별등급별가격(도매시장),서울시농수산식품공사의 품목별등급별가격(도매시장) 정보를 보여드립니다.,2021.05.26,2022.01.12,수시(일간),보건,"서울시농수산식품공사
바로가기",서울시농수산식품공사,서울시농수산식품공사,전산정보팀,윤현철 (02-3435-0348),,없음,저작권자표시(BY) : 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.,"유통정보 ,  등급 ,  농산물 ,  수산물 ,  금액 ,  도매시장",https://data.seoul.go.kr/dataList/OA-20951/S/1/datasetView.do
서울글로벌센터 월별 언어별 상담실적,서울글로벌센터 월별 상담실적을 약 17개의 언어별로 제공합니다.,2019.09.06,2022.01.12,비정기(자료변경시),복지,"서울글로벌센터 홈페이지
바로가기",서울특별시,서울특별시,여성가족정책실 외국인다문화담당관,윤지용 (02-2133-5064),,없음,저작권자표시(BY) : 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.,"상담 ,  언어 ,  월별 ,  실적",https://data.seoul.go.kr/dataList/OA-15738/S/1/datasetView.do
서울글로벌센터 갤러리,서울글로벌센터에서 진행되는 프로그램 및 행사관련 진행 시 진행 과정을 사진으로 제공합니다.,2019.09.06,2022.01.12,비정기(자료변경시),복지,"서울글로벌센터 홈페이지
바로가기",서울특별시,서울특별시,여성가족정책실 외국인다문화담당관,윤지용 (02-2133-5064),,없음,저작권자표시(BY) : 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.,"자원봉사 ,  교육 ,  외국인 ,  서울 ,  벼룩시장 ,  과정 ,  한국어 ,  토픽 ,  운전",https://data.seoul.go.kr/dataList/OA-15734/S/1/datasetView.do
서울글로벌센터 소식,"서울글로벌센터의 중요 공지사항 게시글 정보입니다.
한국어, 운전면허, 토픽 교육관련 사업과 여러 행사 뉴스 정보를 제공합니다.",2019.09.06,2022.01.12,비정기(자료변경시),복지,"서울글로벌센터 홈페이지
바로가기",서울특별시,서울특별시,여성가족정책실 외국인다문화담당관,윤지용 (02-2133-5064),,없음,저작권자표시(BY) : 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.,"한국어 ,  토픽 ,  운전면허 ,  벼룩시장 ,  노무 ,  법률 ,  모집 ,  행사 ,  채용",https://data.seoul.go.kr/dataList/OA-15733/S/1/datasetView.do
서울시농수산식품공사 식품 판매 결과,서울시농수산식품공사의 식품 판매 결과 정보를 보여드립니다.,2021.05.26,2022.01.12,수시(일간),보건,"서울시농수산식품공사
바로가기",서울시농수산식품공사,서울시농수산식품공사,전산정보팀,윤현철 (02-3435-0348),,없음,저작권자표시(BY) : 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.,"유통정보 ,  등급 ,  농산물 ,  수산물 ,  금액",https://data.seoul.go.kr/dataList/OA-20950/S/1/datasetView.do
서울특별시 대기오염 측정소 정보,"서울특별시 대기오염 측정소 정보입니다.
측정소명, 측정소주소, 설치위치 등의 정보를 제공합니다.",2018.12.19,2022.01.12,수시,환경,대기오염측정망시스템,서울특별시,서울특별시,보건환경연구원 대기질통합분석센터,안준혁 (02-570-3414),,없음,저작권자표시(BY) : 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.,"대기오염 ,  대기 ,  측정소 ,  미세먼지 ,  황사 ,  오존",https://data.seoul.go.kr/dataList/OA-15516/S/1/datasetView.do
